cyclist_id,pcs_link,strava_link,strava_id
18530,https://www.procyclingstats.com/rider/rhys-robotham,https://www.strava.com/athletes/13773804,13773804.0
18534,https://www.procyclingstats.com/rider/aiden-sinclair,https://www.strava.com/athletes/2099899,2099899.0
18546,https://www.procyclingstats.com/rider/kim-kenneth-krog,https://www.strava.com/athletes/48849524,48849524.0
18559,https://www.procyclingstats.com/rider/daniel-ver-carino,https://www.strava.com/athletes/21430034,21430034.0
18572,https://www.procyclingstats.com/rider/jerry-aquino,https://www.strava.com/athletes/3931267,3931267.0
18598,https://www.procyclingstats.com/rider/lucinda-brand,https://www.strava.com/pros/2371741,2371741.0
18600,https://www.procyclingstats.com/rider/marijn-de-vries,https://www.strava.com/athletes/1149672,1149672.0
18606,https://www.procyclingstats.com/rider/emma-pooley,https://www.strava.com/pros/1954299,1954299.0
18609,https://www.procyclingstats.com/rider/chantal-blaak,https://www.strava.com/pros/1962573,1962573.0
18612,https://www.procyclingstats.com/rider/kirsten-wild,https://www.strava.com/pros/19746341,19746341.0
18621,https://www.procyclingstats.com/rider/trixi-worrack,https://www.strava.com/athletes/180308,180308.0
18625,https://www.procyclingstats.com/rider/marit-huisman,https://www.strava.com/athletes/351047,351047.0
18751,https://www.procyclingstats.com/rider/mateo-allard,https://www.strava.com/athletes/13420158,13420158.0
18752,https://www.procyclingstats.com/rider/joris-chaussinand,https://www.strava.com/athletes/23138357,23138357.0
18790,https://www.procyclingstats.com/rider/ayumu-watanabe,https://www.strava.com/athletes/23512928,23512928.0
