rider_id,activity_id,activity_option_link,option_type,activity_type
1003912.0,1109324286,https://www.strava.com//activities/1109324286/analysis,/analysis,Race
1003912.0,1109324286,https://www.strava.com//activities/1109324286/heartrate,/heartrate,Race
1003912.0,1109324286,https://www.strava.com//activities/1109324286/power-curve,/power-curve,Race
1003912.0,1109324286,https://www.strava.com//activities/1109324286/zone-distribution,/zone-distribution,Race
1003912.0,1109324286,https://www.strava.com//activities/1109324286/power-distribution,/power-distribution,Race
1003912.0,1109324355,https://www.strava.com//activities/1109324355/analysis,/analysis,Race
1003912.0,1109324355,https://www.strava.com//activities/1109324355/heartrate,/heartrate,Race
1003912.0,1109324355,https://www.strava.com//activities/1109324355/power-curve,/power-curve,Race
1003912.0,1109324355,https://www.strava.com//activities/1109324355/zone-distribution,/zone-distribution,Race
1003912.0,1109324355,https://www.strava.com//activities/1109324355/power-distribution,/power-distribution,Race
1003912.0,1121396650,https://www.strava.com//activities/1121396650/analysis,/analysis,Race
1003912.0,1121396650,https://www.strava.com//activities/1121396650/heartrate,/heartrate,Race
1003912.0,1121396650,https://www.strava.com//activities/1121396650/power-curve,/power-curve,Race
1003912.0,1121396650,https://www.strava.com//activities/1121396650/zone-distribution,/zone-distribution,Race
1003912.0,1121396650,https://www.strava.com//activities/1121396650/power-distribution,/power-distribution,Race
1003912.0,1155385682,https://www.strava.com//activities/1155385682/analysis,/analysis,Race
1003912.0,1155385682,https://www.strava.com//activities/1155385682/heartrate,/heartrate,Race
1003912.0,1155385682,https://www.strava.com//activities/1155385682/power-curve,/power-curve,Race
1003912.0,1155385682,https://www.strava.com//activities/1155385682/zone-distribution,/zone-distribution,Race
1003912.0,1155385682,https://www.strava.com//activities/1155385682/power-distribution,/power-distribution,Race
1003912.0,1155385895,https://www.strava.com//activities/1155385895/analysis,/analysis,Race
1003912.0,1155385895,https://www.strava.com//activities/1155385895/heartrate,/heartrate,Race
1003912.0,1155385895,https://www.strava.com//activities/1155385895/power-curve,/power-curve,Race
1003912.0,1155385895,https://www.strava.com//activities/1155385895/zone-distribution,/zone-distribution,Race
1003912.0,1155385895,https://www.strava.com//activities/1155385895/power-distribution,/power-distribution,Race
1003912.0,1160120578,https://www.strava.com//activities/1160120578/analysis,/analysis,Race
1003912.0,1160120578,https://www.strava.com//activities/1160120578/heartrate,/heartrate,Race
1003912.0,1160120578,https://www.strava.com//activities/1160120578/power-curve,/power-curve,Race
1003912.0,1160120578,https://www.strava.com//activities/1160120578/zone-distribution,/zone-distribution,Race
1003912.0,1160120578,https://www.strava.com//activities/1160120578/power-distribution,/power-distribution,Race
1003912.0,1161636828,https://www.strava.com//activities/1161636828/analysis,/analysis,Race
1003912.0,1161636828,https://www.strava.com//activities/1161636828/heartrate,/heartrate,Race
1003912.0,1161636828,https://www.strava.com//activities/1161636828/power-curve,/power-curve,Race
1003912.0,1161636828,https://www.strava.com//activities/1161636828/zone-distribution,/zone-distribution,Race
1003912.0,1161636828,https://www.strava.com//activities/1161636828/power-distribution,/power-distribution,Race
1003912.0,1163136335,https://www.strava.com//activities/1163136335/analysis,/analysis,Race
1003912.0,1163136335,https://www.strava.com//activities/1163136335/heartrate,/heartrate,Race
1003912.0,1163136335,https://www.strava.com//activities/1163136335/power-curve,/power-curve,Race
1003912.0,1163136335,https://www.strava.com//activities/1163136335/zone-distribution,/zone-distribution,Race
1003912.0,1163136335,https://www.strava.com//activities/1163136335/power-distribution,/power-distribution,Race
1003912.0,1164707486,https://www.strava.com//activities/1164707486/analysis,/analysis,Race
1003912.0,1164707486,https://www.strava.com//activities/1164707486/heartrate,/heartrate,Race
1003912.0,1164707486,https://www.strava.com//activities/1164707486/power-curve,/power-curve,Race
1003912.0,1164707486,https://www.strava.com//activities/1164707486/zone-distribution,/zone-distribution,Race
1003912.0,1164707486,https://www.strava.com//activities/1164707486/power-distribution,/power-distribution,Race
1003912.0,1177620624,https://www.strava.com//activities/1177620624/analysis,/analysis,Race
1003912.0,1177620624,https://www.strava.com//activities/1177620624/power-curve,/power-curve,Race
1003912.0,1177620624,https://www.strava.com//activities/1177620624/zone-distribution,/zone-distribution,Race
1003912.0,1177620624,https://www.strava.com//activities/1177620624/power-distribution,/power-distribution,Race
1003912.0,1189185485,https://www.strava.com//activities/1189185485/analysis,/analysis,Race
1003912.0,1189185485,https://www.strava.com//activities/1189185485/heartrate,/heartrate,Race
1003912.0,1189185485,https://www.strava.com//activities/1189185485/power-curve,/power-curve,Race
1003912.0,1189185485,https://www.strava.com//activities/1189185485/zone-distribution,/zone-distribution,Race
1003912.0,1189185485,https://www.strava.com//activities/1189185485/power-distribution,/power-distribution,Race
1003912.0,1189185552,https://www.strava.com//activities/1189185552/analysis,/analysis,Race
1003912.0,1189185552,https://www.strava.com//activities/1189185552/heartrate,/heartrate,Race
1003912.0,1189185552,https://www.strava.com//activities/1189185552/power-curve,/power-curve,Race
1003912.0,1189185552,https://www.strava.com//activities/1189185552/zone-distribution,/zone-distribution,Race
1003912.0,1189185552,https://www.strava.com//activities/1189185552/power-distribution,/power-distribution,Race
1003912.0,1189185585,https://www.strava.com//activities/1189185585/analysis,/analysis,Race
1003912.0,1189185585,https://www.strava.com//activities/1189185585/heartrate,/heartrate,Race
1003912.0,1189185585,https://www.strava.com//activities/1189185585/power-curve,/power-curve,Race
1003912.0,1189185585,https://www.strava.com//activities/1189185585/zone-distribution,/zone-distribution,Race
1003912.0,1189185585,https://www.strava.com//activities/1189185585/power-distribution,/power-distribution,Race
1003912.0,1200682718,https://www.strava.com//activities/1200682718/analysis,/analysis,Race
1003912.0,1200682718,https://www.strava.com//activities/1200682718/heartrate,/heartrate,Race
1003912.0,1200682718,https://www.strava.com//activities/1200682718/est-power-curve,/est-power-curve,Race
