rider_id,time_interval_link
1150402.0,https://www.strava.com/pros/1150402#graph_date_range?chart_type=miles&interval_type=week&interval=201301&year_offset=9
11516170.0,https://www.strava.com/athletes/11516170#graph_date_range?chart_type=miles&interval_type=week&interval=202101&year_offset=1
11516170.0,https://www.strava.com/athletes/11516170#graph_date_range?chart_type=miles&interval_type=week&interval=202001&year_offset=2
11516170.0,https://www.strava.com/athletes/11516170#graph_date_range?chart_type=miles&interval_type=week&interval=201901&year_offset=3
11516170.0,https://www.strava.com/athletes/11516170#graph_date_range?chart_type=miles&interval_type=week&interval=201801&year_offset=4
11516170.0,https://www.strava.com/athletes/11516170#graph_date_range?chart_type=miles&interval_type=week&interval=201701&year_offset=5
11516170.0,https://www.strava.com/athletes/11516170#graph_date_range?chart_type=miles&interval_type=week&interval=201601&year_offset=6
11516170.0,https://www.strava.com/athletes/11516170#graph_date_range?chart_type=miles&interval_type=week&interval=201501&year_offset=7
12243285.0,https://www.strava.com/pros/12243285#graph_date_range?chart_type=miles&interval_type=week&interval=202052&year_offset=1
12243285.0,https://www.strava.com/pros/12243285#graph_date_range?chart_type=miles&interval_type=week&interval=201952&year_offset=2
12243285.0,https://www.strava.com/pros/12243285#graph_date_range?chart_type=miles&interval_type=week&interval=201852&year_offset=3
12243285.0,https://www.strava.com/pros/12243285#graph_date_range?chart_type=miles&interval_type=week&interval=201752&year_offset=4
12243285.0,https://www.strava.com/pros/12243285#graph_date_range?chart_type=miles&interval_type=week&interval=201652&year_offset=5
12243285.0,https://www.strava.com/pros/12243285#graph_date_range?chart_type=miles&interval_type=week&interval=201552&year_offset=6
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=202101&year_offset=1
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=202001&year_offset=2
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201901&year_offset=3
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201801&year_offset=4
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201701&year_offset=5
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201601&year_offset=6
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201501&year_offset=7
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201401&year_offset=8
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201301&year_offset=9
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201201&year_offset=10
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201101&year_offset=11
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=201001&year_offset=12
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200901&year_offset=13
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200801&year_offset=14
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200701&year_offset=15
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200601&year_offset=16
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200501&year_offset=17
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200401&year_offset=18
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200301&year_offset=19
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200201&year_offset=20
12572856.0,https://www.strava.com/pros/12572856#graph_date_range?chart_type=miles&interval_type=week&interval=200101&year_offset=21
13429898.0,https://www.strava.com/athletes/13429898#graph_date_range?chart_type=miles&interval_type=week&interval=202101&year_offset=1
13429898.0,https://www.strava.com/athletes/13429898#graph_date_range?chart_type=miles&interval_type=week&interval=202001&year_offset=2
13429898.0,https://www.strava.com/athletes/13429898#graph_date_range?chart_type=miles&interval_type=week&interval=201901&year_offset=3
13429898.0,https://www.strava.com/athletes/13429898#graph_date_range?chart_type=miles&interval_type=week&interval=201801&year_offset=4
13429898.0,https://www.strava.com/athletes/13429898#graph_date_range?chart_type=miles&interval_type=week&interval=201701&year_offset=5
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=202101&year_offset=1
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=202001&year_offset=2
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201901&year_offset=3
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201801&year_offset=4
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201701&year_offset=5
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201601&year_offset=6
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201501&year_offset=7
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201401&year_offset=8
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201301&year_offset=9
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201201&year_offset=10
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201101&year_offset=11
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=201001&year_offset=12
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200901&year_offset=13
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200801&year_offset=14
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200701&year_offset=15
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200601&year_offset=16
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200501&year_offset=17
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200401&year_offset=18
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200301&year_offset=19
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200201&year_offset=20
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200101&year_offset=21
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=200001&year_offset=22
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199901&year_offset=23
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199801&year_offset=24
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199701&year_offset=25
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199601&year_offset=26
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199501&year_offset=27
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199401&year_offset=28
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199301&year_offset=29
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199201&year_offset=30
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199101&year_offset=31
134614.0,https://www.strava.com/pros/134614#graph_date_range?chart_type=miles&interval_type=week&interval=199001&year_offset=32
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=202049&year_offset=1
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201949&year_offset=2
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201849&year_offset=3
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201749&year_offset=4
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201649&year_offset=5
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201549&year_offset=6
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201449&year_offset=7
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201349&year_offset=8
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201249&year_offset=9
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201149&year_offset=10
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=201049&year_offset=11
1492619.0,https://www.strava.com/athletes/1492619#graph_date_range?chart_type=miles&interval_type=week&interval=200949&year_offset=12
15718993.0,https://www.strava.com/athletes/15718993#graph_date_range?chart_type=miles&interval_type=week&interval=202050&year_offset=1
15718993.0,https://www.strava.com/athletes/15718993#graph_date_range?chart_type=miles&interval_type=week&interval=201950&year_offset=2
15718993.0,https://www.strava.com/athletes/15718993#graph_date_range?chart_type=miles&interval_type=week&interval=201850&year_offset=3
15718993.0,https://www.strava.com/athletes/15718993#graph_date_range?chart_type=miles&interval_type=week&interval=201750&year_offset=4
15718993.0,https://www.strava.com/athletes/15718993#graph_date_range?chart_type=miles&interval_type=week&interval=201650&year_offset=5
1577875.0,https://www.strava.com/athletes/1577875#graph_date_range?chart_type=miles&interval_type=week&interval=202101&year_offset=1
