strava_id,time_interval_link
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201143&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201144&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201145&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201146&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201147&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201148&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201149&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201150&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201151&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201152&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201201&interval_type=week&chart_type=miles&year_offset=10
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201201&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201202&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201203&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201204&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201205&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201206&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201207&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201208&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201209&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201210&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201211&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201212&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201213&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201214&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201215&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201216&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201217&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201218&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201219&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201220&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201221&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201222&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201223&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201224&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201225&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201226&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201227&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201228&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201229&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201230&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201231&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201232&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201233&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201234&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201235&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201236&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201237&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201238&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201239&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201240&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201241&interval_type=week&chart_type=miles&year_offset=9
1003912.0,https://www.strava.com/pros/1003912#interval?interval=201242&interval_type=week&chart_type=miles&year_offset=9
